length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res,id
244.72400000000002,20.0,"LINESTRING (-122.9515151977539 49.286231994628906, -122.95146942138672 49.28628158569336, -122.951416015625 49.286319732666016, -122.94918060302734 49.287818908691406)",service,44.050320000000006,644733694749510763,644733694749590261,9,93
51.97,30.0,"LINESTRING (-122.9515151977539 49.286231994628906, -122.95098114013672 49.28602600097656, -122.95089721679688 49.28599548339844)",residential,6.2364,644733694750593814,644733694749590261,8,94
37.406,30.0,"LINESTRING (-122.95330810546875 49.283905029296875, -122.95344543457031 49.2835807800293)",residential,4.48872,644733694746628299,644733694746682734,9,95
322.95799999999997,20.0,"LINESTRING (-122.95330810546875 49.283905029296875, -122.95323944091797 49.28389358520508, -122.95320129394531 49.28388595581055, -122.95268249511719 49.283878326416016, -122.95263671875 49.28388977050781, -122.95259857177734 49.283912658691406, -122.95256805419922 49.283939361572266, -122.95159912109375 49.286109924316406, -122.95155334472656 49.28618240356445, -122.9515151977539 49.286231994628906)",service,58.132439999999995,644733694749590261,644733694746682734,7,96
296.14700000000005,30.0,"LINESTRING (-122.95330810546875 49.283905029296875, -122.95230865478516 49.286163330078125, -122.95223999023438 49.28626251220703, -122.95219421386719 49.28633117675781, -122.9521484375 49.2863883972168, -122.95210266113281 49.28644561767578)",residential,35.53764,644733694749579635,644733694746682734,7,97
324.71700000000004,20.0,"LINESTRING (-122.95276641845703 49.28672790527344, -122.95280456542969 49.28669738769531, -122.9528579711914 49.28664779663086, -122.95406341552734 49.283939361572266)",service,58.44906000000001,644733694746658957,644733694749624883,7,98
180.801,20.0,"LINESTRING (-122.95276641845703 49.28672790527344, -122.95237731933594 49.28705596923828, -122.9523696899414 49.28705596923828, -122.95232391357422 49.287086486816406, -122.95169830322266 49.28750228881836, -122.95101165771484 49.287872314453125)",service,32.54418,644733694749456603,644733694749624883,9,99
57.518,20.0,"LINESTRING (-122.95276641845703 49.28672790527344, -122.95216369628906 49.28646469116211, -122.95210266113281 49.28644561767578)",service,10.353240000000001,644733694749579635,644733694749624883,9,100
27.25,20.0,"LINESTRING (-122.95406341552734 49.283939361572266, -122.9542465209961 49.28395462036133, -122.95443725585938 49.28396224975586)",service,4.905,644733694746678946,644733694746658957,10,101
324.717,20.0,"LINESTRING (-122.95406341552734 49.283939361572266, -122.9528579711914 49.28664779663086, -122.95280456542969 49.28669738769531, -122.95276641845703 49.28672790527344)",service,58.449059999999996,644733694749624883,644733694746658957,7,102
63.339,20.0,"LINESTRING (-122.95406341552734 49.283939361572266, -122.95417022705078 49.28367614746094, -122.95425415039062 49.28347396850586, -122.95426177978516 49.28338623046875)",service,11.40102,644733694746567241,644733694746658957,9,103
27.25,20.0,"LINESTRING (-122.95443725585938 49.28396224975586, -122.9542465209961 49.28395462036133, -122.95406341552734 49.283939361572266)",service,4.905,644733694746658957,644733694746678946,10,104
12.735,50.0,"LINESTRING (-122.95426177978516 49.28338623046875, -122.95408630371094 49.283390045166016)",tertiary,0.91692,644733694746567308,644733694746567241,12,105
17.709,50.0,"LINESTRING (-122.95450592041016 49.28338623046875, -122.95426177978516 49.28338623046875)",tertiary,1.275048,644733694746570802,644733694746567241,10,106
63.339,20.0,"LINESTRING (-122.95426177978516 49.28338623046875, -122.95425415039062 49.28347396850586, -122.95417022705078 49.28367614746094, -122.95406341552734 49.283939361572266)",service,11.40102,644733694746658957,644733694746567241,9,107
5.354,30.0,"LINESTRING (-122.95089721679688 49.28599548339844, -122.95092010498047 49.28594970703125)",residential,0.6424799999999999,644733694750595742,644733694750593814,11,108
